artist,album,track,uri
The Marías,CINEMA,Talk to Her,spotify:track:0ZpgDIYEJ7H2g8zkIEDQJz
The Dare,You're Invited,Girls,spotify:track:0Nb5ft0OdmZMNJnaEkpxB6
SZA,Saturn,Saturn,spotify:track:1bjeWoagtHmUKputLVyDxQ
Ravyn Lenae,Sticky,Sticky,spotify:track:1rfGO3N4DPGodJLSSY9Re5
Akalé Wubé,Sost,Spring No Come,spotify:track:07DGZiWVpWyjo8xldchZ9B
Dua Lipa,Future Nostalgia,Levitating (feat. DaBaby),spotify:track:5nujrmhLynf4yMoMtj8AQF
ARON,Friends,Friends,spotify:track:1p3Ss6aBpbpmnSuY0exNMC
Tyla,Water,Water,spotify:track:5aIVCx5tnk0ntmdiinnYvw
Aminé,Good For You,Veggies,spotify:track:34yAAS72vZUXvsQPHGZexE
Still Woozy,Goodie Bag,Goodie Bag,spotify:track:4vHNeBWDQpVCmGbaccrRzi
Sophiya,GREEKo FREAKo,GREEKo FREAKo,spotify:track:2PSChERR09PP6NXXIwmLOW
Don Toliver,Life of a DON,Drugs N Hella Melodies (feat. Kali Uchis),spotify:track:0IX5OFffosy8wk16m1IFCa
"Tyler, The Creator",Cherry Bomb + Instrumentals,"FIND YOUR WINGS (feat. Roy Ayers, Sydney Bennett & Kali Uchis)",spotify:track:0mvnmLsfi9n5RjPIWzT6tY
Hamid Al Shaeri,The SLAM! Years: 1983 - 1988 (Habibi Funk 018),Maktoub Aleina,spotify:track:1SvhjcZt9HTr7MpeAwaskE
Blood Orange,Angel's Pulse,I Wanna C U,spotify:track:4BD3sl4HjTAzWGVIP8LLm4
Marino,Im Doing Fine,Im Doing Fine,spotify:track:7aP15irA4wUSCanIFzgdd8
NLE Choppa,SLUT ME OUT 3 (feat. Carey Washington),SLUT ME OUT 3 (feat. Carey Washington),spotify:track:7FCsancbnLoZrmL6bX6Yti
Noname,Telefone,Diddy Bop (feat. Cam O'bi & Raury),spotify:track:6JvfBzqZmSiEG5MjM7OcSY
RENEE,Nunca Tristes (Me Vale Madre),Nunca Tristes (Me Vale Madre),spotify:track:3LWay44eeYFEh27Gf1UA7J
Kesha,Animal (Expanded Edition),TiK ToK,spotify:track:0HPD5WQqrq7wPWR7P7Dw1i
Charli xcx,BRAT,Everything is romantic,spotify:track:5sMEEjviCkH6Rp5X2ZvIIc
Malcolm Todd,Demos Before Prom,Out of Bounds,spotify:track:45mvVEa99kOMcjHJpCykrw
Gradusy,Научиться бы не париться,Научиться бы не париться,spotify:track:7vBW7vVdCDxFa0UeVPM549
SZA,Ctrl,Love Galore (feat. Travis Scott),spotify:track:0q75NwOoFiARAVp4EXU4Bs
Wallows,You (Show Me Where My Days Went),You (Show Me Where My Days Went),spotify:track:3UIeiuDKnbhZ7OoXZ9j0U5
Sabrina Carpenter,emails i can’t send fwd:,Feather,spotify:track:2Zo1PcszsT9WQ0ANntJbID
Josh Levi,DISC TWO,BIRTHDAY DANCE,spotify:track:0WkfQ4SJqsKrixNQNYSMsq
Ravyn Lenae,dinner & wine,Love Me Not,spotify:track:05nA0zArqFkZiLT6sg7jb3
Alemeda,I hate your face,I hate your face,spotify:track:4plObcsK0lBzi91Xew0lur
Tiwa Savage,Celia,Koroba,spotify:track:18t2ofQiViidZHxOBVjpD1
Kali Uchis,ORQUÍDEAS PARTE 2,Simple,spotify:track:2xQIb4ZLQLAiWAZejlmOoR
Peggy Gou,(It Goes Like) Nanana,(It Goes Like) Nanana - Edit,spotify:track:23RoR84KodL5HWvUTneQ1w
Soulja Boy,iSouljaBoyTellem,Turn My Swag On,spotify:track:6ATrsVaZT7XjkCynxM8cTS
Ladytron,Light & Magic,Seventeen,spotify:track:7qHMaeWBGykUXtoMQLkIC4
CKay,love nwantiti (feat. Dj Yo! & AX'EL),love nwantiti (feat. Dj Yo! & AX'EL) - Remix,spotify:track:4gvrJnKCKIPiacNsWVQwEU
Big Sean,Dark Sky Paradise,I Don't Fuck With You,spotify:track:7FYH5AW3bVfZHJIQpq3UOA
Elias Rahbani,Mosaic of the Orient,La Danse De Nadia,spotify:track:7A0C8hfPuReFu467SeaEkR
Aminé,ONEPOINTFIVE,WHY?,spotify:track:4qV3FpOX5NQbghsnmx3wKX
Rihanna,ANTI,Sex With Me,spotify:track:7BiELrM90hRxpozaIXbsLw
Blood Orange,Coastal Grooves,S'Cooled,spotify:track:2E86wsb6EBpsxhUAeAy6UC
Wallows,Uncomfortable,Uncomfortable,spotify:track:4BreyjJu4w5EUhTKPIQymq
Uncle Waffles,"Yahyuppiyah (feat. Pcee, EeQue, & Chley)","Yahyuppiyah (feat. Pcee, EeQue & Chley)",spotify:track:6L1UdBhj6v8Ol9qKHBtvLN
LeoStayTrill,Pink Lemonade (Str8 Reload),Pink Lemonade (Str8 Reload),spotify:track:4Pt80KvnL6e8DCd9QVx7Ht
Jack Harlow,Loose,SUNDOWN,spotify:track:0ipgd8PPFza3NNmN3Rn2uF
Ella Mai,Time,Switch Sider,spotify:track:65UGfLSTxHAw8CwgkwqeL1
Metro Boomin,NOT ALL HEROES WEAR CAPES,10 Freaky Girls (with 21 Savage),spotify:track:0AluA5RNsa4Cx6XRhf2hWZ
Sabrina Carpenter,Short n' Sweet,Good Graces,spotify:track:102YUQbYmwdBXS7jwamI90
Eyedress,Let's Skip to the Wedding,Romantic Lover,spotify:track:7s5VQqrjBtrBgZL4pEa46S
Bad Bunny,WHERE SHE GOES,WHERE SHE GOES,spotify:track:7ro0hRteUMfnOioTFI5TG1
Clairo,Charm,Juna,spotify:track:2mWfVxEo4xZYDaz0v7hYrN
beabadoobee,This Is How Tomorrow Moves,Real Man,spotify:track:0OpC8hRrbsh24taKOsQBEX
SE SO NEON,Nonadaptation 비적응,Go Back 집에,spotify:track:197OXtsiu7HujhhXYvJjEt
The Weeknd,After Hours,After Hours,spotify:track:2p8IUWQDrpjuFltbdgLOag
Kali Uchis,Red Moon In Venus,I Wish you Roses,spotify:track:35SbrfbaSpGUBX7e5BPega
Nitefreak,Gorah,Gorah,spotify:track:49GpUfc9M09eGET6yBJUAj
"Tyler, The Creator",Cherry Bomb + Instrumentals,2SEATER - Instrumental,spotify:track:2svpV0Ja1LtGq6eE7Pysu9
DACEY,SATIN PLAYGROUND,I'll Be There,spotify:track:7aXhUsoWEnRCXHjQZsNywf
Wonder Girls,REBOOT,Rewind,spotify:track:2YZa0dsV3xXGZ61XFYiRt8
SOPHIE,LEMONADE,LEMONADE,spotify:track:390ey4VzRGd88FHKCIflG7
Vishal-Shekhar,Tees Maar Khan,Sheila Ki Jawani,spotify:track:6VbmeIWTbNHM5uqoW7GTE4
Claire Rosinkranz,don’t miss me,don't miss me,spotify:track:5MG69A9XyXDbBbeOxdR3Tl
Aliyah's Interlude,IT GIRL,IT GIRL,spotify:track:4wQmwPWCUn6gi11Gep2qsP
The Virgins,The Virgins,Rich Girls,spotify:track:58F6iKkYdIccktJ8i8BuQQ
Fujii Kaze,HELP EVER HURT NEVER,Shinunoga E-Wa,spotify:track:0o9zmvc5f3EFApU52PPIyW
Still Woozy,Kenny,Kenny,spotify:track:6FmnMoph4yx7zjhuBcrHDv
Dreamer Isioma,Do I Make You Nervous,Do I Make You Nervous,spotify:track:1LsGcCJQcB9fTjjf4nOb0P
Henry Verus,Your Guilty Pleasure,Your Guilty Pleasure,spotify:track:0fIHfxL7QUl8cRZbC31Jj3
"Tyler, The Creator",Cherry Bomb + Instrumentals,DEATHCAMP (feat. Cole Alexander),spotify:track:2u1tKPsxhwigi5BNbXihB0
Clairo,Bubble Gum,Bubble Gum,spotify:track:3zksbXteOCeSusJ5Xltr3t
Cuco,Si Me Voy (with The Marías),Si Me Voy (with The Marías),spotify:track:6GiCszfL4D2GlCU8tFU3sR
Hotel Ugly,Shut up My Moms Calling,Shut up My Moms Calling,spotify:track:3hxIUxnT27p5WcmjGUXNwx
Mark Ronson,Uptown Special,Uptown Funk (feat. Bruno Mars),spotify:track:32OlwWuMpZ6b0aN2RZOeMS
RIMON,sugarcoated love,sugarcoated love,spotify:track:7ezuk947lx4NkZl8HjfP4l
Leat'eq,Tokyo,Tokyo,spotify:track:2Anpk7AihEt38POoMEDqRb
Lilithzplug,Once Upon A Time,Fangtasia,spotify:track:7niAo29YMZmdwPqbnw8d7s
"Tyler, The Creator",Cherry Bomb + Instrumentals,SMUCKERS - Instrumental,spotify:track:4x9qXC1n1x3v7tg4VD6xep
Kawtar,Ghanili,Ghanili,spotify:track:0sobdrww1wYUfqhrCAzwz0
BETWEEN FRIENDS,CUTiE,orange juice,spotify:track:6tQoCPONoPIhz6SGyn4Gak
City Girls,City On Lock,Pussy Talk,spotify:track:5EzL7hGT9g2Tvqsy158Lu9
Sports,Naked All the Time,You Are the Right One,spotify:track:2qpacEyFxmbxCpIEqZkqvC
bbno$,eat ya veggies,edamame,spotify:track:5rW7qTn83sCKtqBoneJs63
KMAT,"MKK (feat. CowBoii, djygubzin.live & Ranger)","MKK (feat. CowBoii, djygubzin.live & Ranger)",spotify:track:7JNPhwzFNg4pb7wZqfR5ms
Chance the Rapper,Coloring Book,Juke Jam (feat. Justin Bieber & Towkio),spotify:track:3eze1OsZ1rqeXkKStNfTmi
Kali Uchis,ORQUÍDEAS,¿Cómo Así?,spotify:track:54KEm0VI9i3ic7VHHKHKRx
Childish Gambino,Atavista,Atavista,spotify:track:6Lj4RhwPsVfMn7tsA5i8jW
Akalé Wubé,Sost,Gab's Trap,spotify:track:0yUpeCai6hB2mHrxgoG1fC
Flyana Boss,You Wish + Trashboi,You Wish,spotify:track:0aoLgGE9S9qMjIGtTgpnNd
The Neighbourhood,Chip Chrome & The Mono-Tones,Devil's Advocate,spotify:track:4XfI7M5gLwEY84gYiH4RDD
Piero Umiliani,La ragazza dalla pelle di luna,Mahè,spotify:track:29eLonNk3JNVWqu58cr7rq
Akalé Wubé,Sost,Erikum,spotify:track:5ccQ46xlexvYLutmVZf8Xu
Mereba,The Jungle Is The Only Way Out,Sandstorm (feat. JID),spotify:track:1NlWBpNYAnFT7gMGyC0Y1M
"Tyler, The Creator",Cherry Bomb + Instrumentals,BUFFALO (feat. Shane Powers),spotify:track:3h0P4TXrlrv9Lj0z7FS36I
Akalé Wubé,Sost,Anbessa,spotify:track:4Ic3yQiH5UmyyevTsp08tY
Luidji,Saison 00,Miskine,spotify:track:1oAJcJ1Wqg5lkHHTdRGOld
Lloyd,Street Love,Get It Shawty,spotify:track:2a03afRiyAbNAleOByVju4
Aminé,Good For You,Wedding Crashers,spotify:track:3nVDOYBJpdCkRR6r1DbZum
Daler Mehndi,Tunak Tunak Tun,Tunak Tunak Tun,spotify:track:131yybV7A3TmC34a0qE8u8
Ndotz,Embrace It,Embrace It,spotify:track:0io16MKpbeDIdYzmGpQaES
Kota the Friend,EVERYTHING,Long Beach,spotify:track:6tqIes4TjudsjfIpK4P2Jh
Kendrick Lamar,GNX,squabble up,spotify:track:0nj9Bq5sHDiTxSHunhgkFb
"Tyler, The Creator",Cherry Bomb + Instrumentals,RUN (feat. Chaz Bundick & ScHoolboy Q),spotify:track:1VZS61kwta2pHVTAXU9uU1
TitoM,"Tshwala Bam (feat. S.N.E, EeQue)","Tshwala Bam (feat. S.N.E, EeQue)",spotify:track:54seQV7MCcppBrznALCdlT
Biking With Francis,WANNA B,WANNA B,spotify:track:1TwqPT9ejPGa79hlWrX2OX
Stromae,Cheese,Alors on danse - Radio Edit,spotify:track:2GYHyAoLWpkxLVa4oYTVko
Frank Ocean,Blonde,White Ferrari,spotify:track:2LMkwUfqC6S6s6qDVlEuzV
The Blue Steam Project,Lunch Box,Lunch Box,spotify:track:74bQhhhHYWFszaIn0jfzAe
Stephanie Vo,VÀNG (Yellow),VÀNG (Yellow),spotify:track:0o94hNNHsEwVibVCtzjlW1
Tyla,TYLA,Truth or Dare,spotify:track:1whAXVGN8AdfrnoXNIXfJf
Daddy Yankee,"Blin Blin, Vol. 1",Aqui Esta Tu Caldo,spotify:track:0pHxl604r0OYmGdMNtbTyY
Monét Ngo,Ruby Sparks,Ruby Sparks,spotify:track:5XTmYM921b7aXDzINhhykP
Miranda del Sol,Care About Me,Care About Me,spotify:track:1k9wDlfLpTuIOdAC8p3ePf
Daniel Caesar,Freudian,Hold Me Down,spotify:track:1Mza2sr6tPhy6jjI3HB9fW
Filthy Blondes,Filthy Blondes,Heartbeats,spotify:track:0vfD6mTYeiAVlQGWJi9r2X
Mitski,Bury Me At Makeout Creek,Francis Forever,spotify:track:5411TEB6tlzvuF5A4oyldr
Rema,Rema,Dumebi,spotify:track:0SjQBdIddPvKSWxr8vk6QX
Rema,HEIS,OZEBA,spotify:track:7ySC0IjVS1PMEdsZOvsUK2
Yoza,Swim N Sativa,Swim N Sativa,spotify:track:0WNP3s9hFrPNyrznZzqx4o
Ricky Rich,Habibi,Habibi - Albanian Remix,spotify:track:2sHYMLUd4nVLxHPKY05Ein
Dotorado Pro,Macumba,Macumba,spotify:track:3cKxtjSVWfh5XLxZkQw5Nh
Tyla,TYLA,Jump,spotify:track:6XpEm7VJ7TZxZTawH8BCSW
Kendrick Lamar,DAMN.,LOYALTY. FEAT. RIHANNA.,spotify:track:6SwRhMLwNqEi6alNPVG00n
PinkPantheress,Where you are (feat. WILLOW),Where You Are (feat. WILLOW),spotify:track:4icnlpI5IbZcRO9mpixVVW
"Tyler, The Creator",Cherry Bomb + Instrumentals,THE BROWN STAINS OF DARKEESE LATIFAH PART 6-12 (REMIX) - Instrumental,spotify:track:3MNMl544W55Fphu1do513b
Dreamer Isioma,Sensitive,Sensitive,spotify:track:0oHEteATZnAZuA9dl1dXF3
Drake,Views,Too Good,spotify:track:3BtuIIrQlkujKPuWF2B85z
Current Blue,Six Speed,Six Speed,spotify:track:38loOBAgDgCW4pFWyH9cey
MIA GLADSTONE,GEEKIN,GEEKIN,spotify:track:2AdcAJUXNrvgKEdIEbXVy8
The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Softcore,spotify:track:2K7xn816oNHJZ0aVqdQsha
beabadoobee,Beatopia,Lovesong,spotify:track:2qkb3hhx8iCBvYzX9SvVxj
Lamis Kan,Mesytara,Mesytara,spotify:track:7H2uwSkd2mhRKyTOPRDE2L
Khalid,American Teen,Young Dumb & Broke,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY
Blood Orange,Negro Swan,Jewelry,spotify:track:3boUSTv7CwQRiWuq8ZPjYi
Rauw Alejandro,PLAYA SATURNO,DILUVIO,spotify:track:2kz1YOhJiNubjigR1gB1VX
Oscar Welsh,Get Yourself to Sleep,Get Yourself to Sleep,spotify:track:74KttZ7bf1dDyrEviDbJCy
Nao,For All We Know - The Remixes - EP,Get to Know Ya - KAYTRANADA FLIP,spotify:track:5ymY6gY9vaUSG46kmQWBsm
RIMON,BBYGIRL FOCU$,feel it,spotify:track:63BXSCsnnx1DXMJZt47Lcn
Brent Faiyaz,WASTELAND,ROLLING STONE,spotify:track:0e0JshRej2NwT7jahEmv52
Rihanna,Music Of The Sun,Pon de Replay,spotify:track:4TsmezEQVSZNNPv5RJ65Ov
Shallipopi,Laho,Laho,spotify:track:37nExiid2iQtQzCJfUzohy
Frank Ocean,channel ORANGE,Bad Religion,spotify:track:2pMPWE7PJH1PizfgGRMnR9
Ella Mai,READY,My Way,spotify:track:3x4Zx0rPoW6kErSDK8SSnW
marQ,Rhodie,Rhodie,spotify:track:6cILD6HRaTvgb1OvGMRarO
Cuco,wannabewithu,Lover Is a Day,spotify:track:1ucnuV88gFTfR3BalmznDk
Inner Wave,wya,Six AM,spotify:track:5ac9xtBIyhpsPqqH7dBVQ2
Bazzi,Mine,Mine,spotify:track:6tHWl8ows5JOZq9Yfaqn3M
Afro B,Afrowave 2,Drogba (Joanna),spotify:track:0dCOSNPQizhMMjO6UxGlzi
Dominic Fike,Sunburn,Frisky,spotify:track:3my33XXLpYUzVEeLOyftV2
Mariah Carey,Butterfly,Honey,spotify:track:5NaOWLOmVjcA3M5spRATN9
Aminé,Good For You,Blinds,spotify:track:366DLDHAnvMnHP5ECYt4N7
Bad Bunny,DÁKITI,DÁKITI,spotify:track:47EiUVwUp4C9fGccaPuUCS
cupcakKe,Dauntless Manifesto,Backstage Passes,spotify:track:6wAOzF7TnDlMG6fOSU3fwX
Kendrick Lamar,Black Panther The Album Music From And Inspired By,All The Stars (with SZA),spotify:track:3GCdLUSnKSMJhs4Tj6CV3s
"Tyler, The Creator",Cherry Bomb + Instrumentals,"2SEATER (feat. Aaron Shaw, Samantha Nelson & Austin Feinstein)",spotify:track:5LUJ8X9S6lJOeUwJkWqCeX
The Drums,Portamento,Money,spotify:track:3VIJBrMpvimHEw5wtPh2wB
Oh Wonder,Oh Wonder,Lose It,spotify:track:2QgNcjwEn0vGmTommfszQd
Hamid Al Shaeri,Kawahel,Ouda,spotify:track:3x9BHDNsyg50xSEzmLMyUd
Don Toliver,Heaven Or Hell,No Idea,spotify:track:7AzlLxHn24DxjgQX73F9fU
Justin Timberlake,Justified,Rock Your Body,spotify:track:1AWQoqb9bSvzTjaLralEkT
Rio Romeo,Good God!,Nothing's New,spotify:track:0EF1EE8zusg3Y869e56JFd
Famous Friend,Prism (Better Than This),Prism (Better Than This),spotify:track:3Ts5wf48b6KKRSAfHSjzwQ
RIMON,BBYGIRL FOCU$,focu$,spotify:track:2eTUTCd53fpJi5H0RUlvTM
Billie Eilish,dont smile at me,bellyache,spotify:track:1ni8ZTAY1GHXEFOGHl7fdg
The Synaptik,Barqouq Leilaki (feat. JayJay),Barqouq Leilaki (feat. JayJay),spotify:track:1U4wCDl189m6VCLHoKw91n
berryblue,GOT ME LIKE,IN A MOOD,spotify:track:18hov7x3FZlBmvSkVEWRkz
Teedra Moses,Be Your Girl (Kaytranada Edition),Be Your Girl (Kaytranada Edition),spotify:track:0NdKnpfDtqT4ejsW4H58x4
Chanda na Kay,Chanda Na Kay Hits,Njebele Eeh,spotify:track:0SWfdQlpujY29v2D6QN3u2
Cage The Elephant,Neon Pill,Rainbow,spotify:track:6buQeGlk47QiPVoPObaZ7x
PinkPantheress,to hell with it,All My Friends Know,spotify:track:3ZpqeV6u8cheGopIXQlHfH
MC YOSHI,Y a une meuf,Y a une meuf,spotify:track:3hBR7YFqumGQAGUkrjv8C3
DJ Nhlaks,Sister Bethina,Sister Bethina - Amapiano Remix,spotify:track:4AdV3XxJMIFa5B9mG5UPwO
"Tyler, The Creator",Flower Boy,911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),spotify:track:4bEcoz1OcfMgUbp2ft8ieQ
Vendredi sur Mer,Premiers émois,Écoute Chérie,spotify:track:1zyUz3eZ3sytdaR9lfW17q
Lilly Yan,Paraíso,Paraíso,spotify:track:0FnWZZTkUeenPGOxIF247f
FloyyMenor,Gata Only,Gata Only,spotify:track:6XjDF6nds4DE2BBbagZol6
Ariana Grande,Christmas & Chill,December,spotify:track:7zrhy9OhtcO7MdIvbbJiOa
Hadi Azrak,Jeno Neto,Jeno Neto,spotify:track:04louZbgRbPblYU0mUyb6I
Dreamer Boy,"Love, Nostalgia",Simple,spotify:track:4ELWdmP1e2c0VxCvIeyUIz
DJ Snake,You Know You Like It,You Know You Like It,spotify:track:57kR5SniQIbsbVoIjjOUDa
Aminé,Good For You,Heebiejeebies - Bonus,spotify:track:32xx0fAv3CIeGmNaWTHvEF
bbno$,i don't care at all,shining on my ex,spotify:track:1IhMuuTCpO0K7BM2MmIZ0w
The Weeknd,"My Dear Melancholy,",Call Out My Name,spotify:track:1gm616Plq4ScqNi7TVkZ5N
Rihanna,Bitch Better Have My Money,Bitch Better Have My Money,spotify:track:0NTMtAO2BV4tnGvw9EgBVq
Chicano Batman,Invisible People,Pink Elephant,spotify:track:2R9FyZndeVCyq6wJQ6MRpN
Rhea Raj,Venom,Venom,spotify:track:0xGOTcUO5HmnvPQgP9c5Qb
DLG.,Scatterbrain,Scatterbrain,spotify:track:6iP5RyT5UYri2lBXF5HXPv
BLK ODYSSY,BLK VINTAGE,GHOST RIDE,spotify:track:15KqIJ5Kc3vC8KRi57cMY7
Wedi Tikabo,Fewsi Libi,Beluwa,spotify:track:7mw7jufAUanta7Thj72TmH
Queen Naija,Queen Naija,Mama's Hand,spotify:track:5u9QCfx2tcv8QJbKb2WFuq
Najat Aatabou,Goul el hak el mout kaina,Goul el hak el mout kaina,spotify:track:51INe09LKI99Irj3vWNUNS
Tai Verdes,TV,DRUGS,spotify:track:4tVASOccgcigdCfwUamZCh
beabadoobee,Loveworm,Apple Cider,spotify:track:5xA5MggKc3aQxuOzNzPUWB
Kali Uchis,Por Vida,Ridin' Round,spotify:track:0Ud8Gu7XyqU3jzfsWd9fn3
Saweetie,ICY GRL,ICY GRL,spotify:track:4Zkjhf26f6Ai7qSMjt1Yue
Still Woozy,Cooks,Cooks,spotify:track:75TDPu9k7Yv3IovdYaNCwk
Aminé,ONEPOINTFIVE,CHINGY,spotify:track:5KpUzmHFirESqWjCrXnmWS
IBI HAN,no remedy,no remedy,spotify:track:1kRZ4GZ2dnvBKBdqDMo2Ln
Central Cee,Doja,Doja,spotify:track:3LtpKP5abr2qqjunvjlX5i
Frank Ocean,Blonde,Self Control,spotify:track:5GUYJTQap5F3RDQiCOJhrS
SZA,Drew Barrymore,Drew Barrymore,spotify:track:4Ni8k94lpdC6gzjXtUdzVw
Conan Gray,Sunset Season,Greek God,spotify:track:7KJXiuMXQu723ODChoxENp
Nicki Minaj,Super Freaky Girl,Super Freaky Girl,spotify:track:4C6Uex2ILwJi9sZXRdmqXp
Yellow Claw,"Los Amsterdam (Remixes, Pt. 1)",Love & War - Yellow Claw G-Funk Remix,spotify:track:6UbfuPifNmblRiaE8vQ08U
Lay Bankz,Ick,Ick,spotify:track:3gZilge8NsINDKKlZD03Zg
Nathanie,yellow,yellow,spotify:track:0qstnaL14EV0e8TDgHA0kL
Chappell Roan,The Rise and Fall of a Midwest Princess,Casual,spotify:track:3WSOUb3U7tqURbBSgZTrZX
¥$,TALKING,TALKING,spotify:track:6J4rRj2uVfziGMyfrPEPLo
Souly Had,aesthetic,aesthetic,spotify:track:3aVGj0g3QKbbXn8uNBFZIH
The Weeknd,Trilogy,Coming Down,spotify:track:4q75XguyPrsduy70hcBVFu
Bruno Mars,24K Magic,That's What I Like,spotify:track:0KKkJNfGyhkQ5aFogxQAPU
The Weeknd,Beauty Behind The Madness,Acquainted,spotify:track:7uJH0YdSZL6psjxI6Xy08b
Filthy Blondes,Filthy Blondes,Filthy Blondes,spotify:track:1cXvVGe8AKcXUzAHrzcyuv
Ardian Bujupi,10,Peligrosa,spotify:track:0ZVk8VH9GlgaTSx6LQCA7G
Odetari,KEEP UP // FROSTBITE,KEEP UP,spotify:track:2yR2sziCF4WEs3klW1F38d
"Tyler, The Creator",Cherry Bomb + Instrumentals,CHERRY BOMB,spotify:track:53Ij8FmAuvzXLsjzCTLM31
H.E.R.,I Used To Know Her: The Prelude,Be On My Way (Interlude),spotify:track:3Rgw1bx8D22CEFjGVtMHQE
Shankar-Ehsaan-Loy,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Maahi Ve,spotify:track:7Czm0vv2sYL5z4P51KY66e
Caleb Belkin,Summer Nights,Memories,spotify:track:5ivxkqVDTIqgDoQuPsNEwQ
Fitz and The Tantrums,Fitz and The Tantrums,HandClap,spotify:track:4qRaZYiaOsSvWC7VgcxrI0
Rihanna,Loud,S&M,spotify:track:2u02eLj96Atd6TBxkH9YvN
Steve Lacy,The Lo-Fis,Infrunami,spotify:track:0f8eRy9A0n6zXpKSHSCAEp
Fetty Wap,Fetty Wap,Again,spotify:track:3ESSGgWzRf1xvP7G5hHMhB
Tiagz,Tacata (Remix),Tacata (Remix),spotify:track:7LLBONqWyX3MoBvIVPu5fj
Jennifer Lopez,J.Lo,Love Don't Cost a Thing,spotify:track:1fgvJXlcZ7uIddMpqsqw0L
Peachy!,Falling for U,Falling for U,spotify:track:2xhGZ3WzOa3tir28y7Cb88
Clairo,Flaming Hot Cheetos,Flaming Hot Cheetos,spotify:track:1F6IbA7di42uPc3cff8PXV
The Weeknd,Starboy,Die For You,spotify:track:2LBqCSwhJGcFQeTHMVGwy3
Frank Ocean,Blonde,Ivy,spotify:track:6YJZMNLwxl7am5XZEr7eqY
Muni Long,Made For Me,Made For Me,spotify:track:0WIv5qV41y6YjjB9V1biuC
Sabrina Carpenter,emails i can't send,bet u wanna,spotify:track:1RAeuvRyRzCweAK3jUT0ZW
Spencer.,VISCERAL LOVE,OPEN WIDE,spotify:track:5EU5T4pvPG6Bedaepnhhxk
Matt Friedman,Everytime,Everytime,spotify:track:5dvQdaoonNty1jbzjIeKUb
Adekunle Gold,Catch Me If You Can,"Dior, Dior, Dior",spotify:track:5kP41EzPFmFXuywcYWSsyE
The Weeknd,Starboy,Die For You,spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz
Frank Ocean,Biking (Solo),Biking (Solo),spotify:track:6gtNiLJNLBcV0P6Juenstp
BROCKHAMPTON,1999 WILDFIRE,1999 WILDFIRE,spotify:track:1t4pPnbkOjzoA5RvsDjvUU
Dreamer Isioma,HUH?,HUH?,spotify:track:2hWOnCuZo2Js7o0UbDa8m4
Beyoncé,RENAISSANCE,ENERGY (feat. Beam),spotify:track:0314PeD1sQNonfVWix3B2K
Malcolm Todd,Roommates,Roommates,spotify:track:1PJe0Vt9p0QaV4ZNHUwml0
Sade,The Best of Sade,Kiss of Life,spotify:track:65krtHkaYLPr0mEbjL61UP
NewJeans,NewJeans 1st EP 'New Jeans',Attention,spotify:track:2pIUpMhHL6L9Z5lnKxJJr9
The Rare Occasions,Notion,Notion,spotify:track:0sTlGEld0h8kIPZaKDYUf4
Aminé,Good For You,Money,spotify:track:7sdqtgsO9zxvKdrrVDpaNu
noevdv,want u,want u,spotify:track:1312ZAYpw7aeRQ8GMkbJux
KAROL G,MAÑANA SERÁ BONITO,MAÑANA SERÁ BONITO,spotify:track:4bycD60yZgR6anIBtmU8UH
Still Woozy,Habit,Habit,spotify:track:4BsLwvaJOTOHDNg7xMpvrL
021 Richard,Menozin É Abusado,Menozin É Abusado,spotify:track:7ED51LMfG28pKMGIW3CEy0
The Marías,No One Noticed (Extended),No One Noticed (Extended English),spotify:track:4Q9qkdqu0qKKjaftRrAK9C
Flo Milli,"Ho, why is you here ?",Beef FloMix,spotify:track:7qdFz1dTJqgdVe6NA4F4DP
Davido,Timeless,UNAVAILABLE (feat. Musa Keys),spotify:track:2kaH2Z8ezDUKf6fNw250rZ
Tyla,Been Thinking,Been Thinking,spotify:track:2TDovGBTIpZ6zXKeyhsFzz
Rvssian,Santa,Santa,spotify:track:5bi0gh89wRuH2OgjdAKFsb
Hope Tala,Girl Eats Sun,Cherries,spotify:track:13z7RLPmgupzRwQY9NiTZU
bbno$,eat ya veggies,wussup,spotify:track:0QlCwqffuvLHJVGo5ngMcs
Burna Boy,African Giant,Gbona,spotify:track:7rpWDu9GPlLxbLorYKVys7
Billie Eilish,HIT ME HARD AND SOFT,BIRDS OF A FEATHER,spotify:track:6dOtVTDdiauQNBQEDOtlAB
Current Blue,Los Santos,Los Santos,spotify:track:0VpSpAYEc2DlNSmnxGyg6F
Pearly Drops,Call For Help,Call For Help,spotify:track:3l5qctI4FqhfjIZzs06cbk
Drake,"Two Birds, One Stone","Two Birds, One Stone",spotify:track:3m62bJJXGyQKdR9XyRocnl
Aaron May,CHASE,"I'm Good Luv, Enjoy.",spotify:track:1qpHbfyMnaIKcJPzVxfnpO
Sarcastic Sounds,Disappointment (feat. Rxseboy),Disappointment (feat. Rxseboy),spotify:track:4jU4Go8TPo3bkvRQSYbp8x
Kendrick Lamar,GNX,tv off (feat. lefty gunplay),spotify:track:75bsrBtmM57lhi55yOfzBL
